,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
1184,FORD,FOCUS,2.0,M6,4.0,10.2,7.35,8.9,205.0
1185,FORD,FOCUS (Start/Stop),1.0,AS6,3.0,8.5,6.2,7.5,176.0
1186,FORD,FOCUS (Start/Stop),1.0,M6,3.0,7.9,5.9,7.0,164.0
1187,FORD,FOCUS FFV,2.0,A6,4.0,10.25,7.45,9.0,171.0
1188,FORD,FOCUS FFV,2.0,AM6,4.0,10.483333333333334,7.366666666666667,9.083333333333334,175.5
1189,FORD,FOCUS FFV,2.0,AS6,4.0,10.575000000000001,7.5375000000000005,9.2125,177.75
1190,FORD,FOCUS FFV,2.0,M5,4.0,10.825000000000001,7.9125,9.512500000000001,183.0
1191,FORD,FOCUS RS AWD,2.3,M6,4.0,12.166666666666666,9.233333333333334,10.866666666666667,254.33333333333334
1192,FORD,FOCUS SFE FFV,2.0,A6,4.0,10.0,7.050000000000001,8.65,164.0
1193,FORD,FOCUS ST,2.0,M6,4.0,10.5,7.766666666666667,9.266666666666667,218.33333333333334
1194,FORD,FUSION,1.5,AS6,4.0,9.98,6.720000000000001,8.540000000000001,198.6
1195,FORD,FUSION,1.6,M6,4.0,9.4,6.4,8.1,186.0
1196,FORD,FUSION,2.0,AS6,4.0,10.780000000000001,7.260000000000001,9.2,214.4
1197,FORD,FUSION,2.5,A6,4.0,11.3,7.45,9.55,223.5
1198,FORD,FUSION,2.5,AS6,4.0,10.533333333333333,6.966666666666666,8.9,206.33333333333334
1199,FORD,FUSION (Start/Stop),1.5,AS6,4.0,9.433333333333332,6.3,8.033333333333333,186.0
1200,FORD,FUSION AWD,2.0,AS6,4.0,11.219999999999999,7.76,9.66,225.2
1201,FORD,FUSION AWD,2.7,AS6,6.0,13.65,9.05,11.65,273.5
1202,FORD,FUSION HYBRID,2.0,CVT,4.0,5.42,5.7,5.540000000000001,128.8
1203,FORD,Fiesta,1.6,AM6,4.0,8.6,6.4,7.6,178.0
1204,FORD,Fiesta,1.6,M5,4.0,8.8,6.8,7.9,184.0
1205,FORD,Fiesta ST,1.6,M6,4.0,9.2,7.4,8.4,196.0
1206,FORD,Flex,3.5,AS6,6.0,14.7,10.2,12.7,298.0
1207,FORD,Flex AWD,3.5,AS6,6.0,14.7,10.7,12.9,303.0
1208,FORD,Flex AWD GTDI,3.5,AS6,6.0,15.7,11.2,13.7,322.0
1209,FORD,Fusion,1.5,AS6,4.0,10.0,7.0,8.7,203.5
1210,FORD,Fusion Hybrid,2.0,CVT,4.0,5.5,5.65,5.6,131.0
1211,FORD,GT,3.5,AM7,6.0,20.3,13.05,17.025000000000002,401.0
1212,FORD,MUSTANG,2.3,AS10,4.0,11.0,7.4,9.4,219.0
1213,FORD,MUSTANG,2.3,AS6,4.0,11.0,7.566666666666667,9.466666666666667,220.33333333333334
1214,FORD,MUSTANG,2.3,M6,4.0,10.85,7.6499999999999995,9.425,220.25
1215,FORD,MUSTANG,3.7,A6,6.0,12.1,7.8,10.2,235.0
1216,FORD,MUSTANG,3.7,AS6,6.0,12.666666666666666,8.633333333333333,10.833333333333334,252.66666666666666
1217,FORD,MUSTANG,3.7,M6,6.0,13.399999999999999,8.399999999999999,11.125,259.25
1218,FORD,MUSTANG,5.0,A6,8.0,13.3,9.3,11.5,264.0
1219,FORD,MUSTANG,5.0,AS10,8.0,15.1,9.3,12.5,291.0
1220,FORD,MUSTANG,5.0,AS6,8.0,15.133333333333333,9.533333333333333,12.566666666666668,293.3333333333333
1221,FORD,MUSTANG,5.0,M6,8.0,15.48,9.48,12.76,297.0
1222,FORD,MUSTANG,5.8,M6,8.0,15.9,9.9,13.2,304.0
1223,FORD,MUSTANG (Performance Pkg),2.3,AS10,4.0,11.8,8.1,10.1,236.0
1224,FORD,MUSTANG (Performance Pkg),2.3,AS6,4.0,11.8,8.3,10.2,239.0
1225,FORD,MUSTANG (Performance Pkg),2.3,M6,4.0,11.5,8.4,10.05,235.0
1226,FORD,MUSTANG (Performance Pkg),5.0,M6,8.0,16.7,10.2,13.8,324.0
1227,FORD,MUSTANG CONVERTIBLE,2.3,AS10,4.0,11.8,8.2,10.2,238.0
1228,FORD,MUSTANG CONVERTIBLE,2.3,AS6,4.0,11.666666666666666,8.066666666666668,10.033333333333333,233.66666666666666
1229,FORD,MUSTANG CONVERTIBLE,2.3,M6,4.0,11.5,8.55,10.2,238.5
